행정구역,2025년_총인구수,2025년_세대수,2025년_세대당 인구,2025년_남자 인구수,2025년_여자 인구수,2025년_남여 비율
강원특별자치도 강원특별자치도 춘천시 (5111000000),285234 ,138329 ,2.06,140549 ,144685 ,0.97
강원특별자치도 강원특별자치도 원주시 (5113000000),363194 ,176165 ,2.06,179880 ,183314 ,0.98
강원특별자치도 강원특별자치도 강릉시 (5115000000),206237 ,105025 ,1.96,102134 ,104103 ,0.98
강원특별자치도 강원특별자치도 동해시 (5117000000),86333 ,43489 ,1.99,43853 ,42480 ,1.03
강원특별자치도 강원특별자치도 태백시 (5119000000),37088 ,20065 ,1.85,18724 ,18364 ,1.02
강원특별자치도 강원특별자치도 속초시 (5121000000),79636 ,41109 ,1.94,39370 ,40266 ,0.98
강원특별자치도 강원특별자치도 삼척시 (5123000000),60518 ,33240 ,1.82,30907 ,29611 ,1.04
강원특별자치도 강원특별자치도 홍천군 (5172000000),66109 ,35022 ,1.89,34051 ,32058 ,1.06
강원특별자치도 강원특별자치도 횡성군 (5173000000),45627 ,24065 ,1.9,23530 ,22097 ,1.06
강원특별자치도 강원특별자치도 영월군 (5175000000),36054 ,20893 ,1.73,18703 ,17351 ,1.08
강원특별자치도 강원특별자치도 평창군 (5176000000),39831 ,22013 ,1.81,20670 ,19161 ,1.08
강원특별자치도 강원특별자치도 정선군 (5177000000),34879 ,19999 ,1.74,18293 ,16586 ,1.1
강원특별자치도 강원특별자치도 철원군 (5178000000),39979 ,20275 ,1.97,20622 ,19357 ,1.07
강원특별자치도 강원특별자치도 화천군 (5179000000),22371 ,11979 ,1.87,11995 ,10376 ,1.16
강원특별자치도 강원특별자치도 양구군 (5180000000),20410 ,10392 ,1.96,10720 ,9690 ,1.11
강원특별자치도 강원특별자치도 인제군 (5181000000),30863 ,16599 ,1.86,16881 ,13982 ,1.21
강원특별자치도 강원특별자치도 고성군 (5182000000),26845 ,15317 ,1.75,13731 ,13114 ,1.05
강원특별자치도 강원특별자치도 양양군 (5183000000),27292 ,14924 ,1.83,13962 ,13330 ,1.05
