상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
황토집숯불닭갈비,2021-09-18,음식점,37.929044,127.783107,강원,춘천시,신북읍,천전리,10926,46.51,53.49,2.1,1.6,1.66,1.33,93.31,2021-12-21
황소 닭갈비,2021-07-23,음식점,37.858207,127.719461,강원,춘천시,온의동,,1487,69.33,30.67,1.13,1.87,2.13,2.18,92.69,2021-12-21
강촌명물닭갈비,2021-08-28,음식점,37.813116,127.63433,강원,춘천시,남산면,강촌리,1020,68.07,31.93,0.74,1.09,1.09,1.1,95.98,2021-12-21
향토진미닭갈비,2021-08-20,음식점,37.880437,127.764689,강원,춘천시,동면,만천리,1015,71.22,28.78,16.21,14.86,22.78,26.62,19.53,2021-12-21
산골 닭갈비,2021-09-18,음식점,37.813843,127.63382,강원,춘천시,남산면,강촌리,1000,58.84,41.16,8.66,14.63,19.08,24.13,33.5,2021-12-21
촌집닭갈비막국수,2021-08-28,음식점,37.812871,127.634048,강원,춘천시,남산면,강촌리,947,65.63,34.37,1.26,1.62,1.62,1.63,93.87,2021-12-21
강촌막국수닭갈비,2021-09-20,음식점,37.811151,127.636033,강원,춘천시,남산면,강촌리,908,58.15,41.85,8.74,14.71,19.16,24.21,33.18,2021-12-21
남부닭갈비,2021-07-19,음식점,37.870069,127.726615,강원,춘천시,효자동,,867,69.12,30.88,1.15,1.54,1.54,1.42,94.35,2021-12-21
춘천 1호 닭갈비 막국수,2021-09-18,음식점,37.813764,127.633287,강원,춘천시,남산면,강촌리,857,58.34,41.66,9.34,15.31,19.76,24.81,30.78,2021-12-21
비와별닭갈비본점,2021-07-20,음식점,37.849848,127.749035,강원,춘천시,석사동,,787,36.36,63.64,15.22,20.91,19.01,23.21,21.65,2021-12-21
다우 숯붗 닭갈비,2021-09-18,음식점,37.814756,127.634827,강원,춘천시,남산면,강촌리,714,59.46,40.54,8.8,14.77,19.22,24.27,32.94,2021-12-21
공지천우미닭갈비,2021-09-11,음식점,37.873962,127.710782,강원,춘천시,근화동,,713,54.86,45.14,10.13,18.29,30.43,30.82,10.33,2021-12-21
학곡리막국수닭갈비,2021-07-23,음식점,37.850407,127.752982,강원,춘천시,석사동,,705,55.64,44.36,15.24,20.94,19.04,23.1,21.68,2021-12-21
춘천명동닭갈비,2021-08-21,음식점,37.810721,127.636455,강원,춘천시,남산면,강촌리,681,33.06,66.94,9.36,15.2,20.43,24.21,30.8,2021-12-21
9우미닭갈비만천점,2021-07-22,음식점,37.879924,127.761852,강원,춘천시,동면,만천리,680,26.5,73.5,16.45,15.25,22.44,26.06,19.8,2021-12-21
